category,subcategory,component,tracking,method,cost,cost_units,quantity,quantity_units,life_years,remaining_life,service_date,source_page
Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,One Time,50000.0,Allow,1,Allow,3,0:06,,59
Balconies-Decks-Stairways,Railings,Stairway/Balcony Railing,Logistical,Fixed,7500.0,Allow,1,Allow,8,0:06,,148
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,0:06,,64
Concrete,Major Repairs,Concrete Sidewalks-Stairs-Patios/Grinding-Repairs,Logistical,Fixed,10000.0,Allow,1,Allow,3,0:06,,102
Concrete,Major Repairs,Curbs-Gutters,Logistical,Adjusted,5000.0,Allow,1,Allow,3,0:06,,104
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,5000,SF,30,0:06,,157
Exterior Surfaces,Roofing,Fascia-Flashing-Soffits,Logistical,One Time,55000,Allow,1,Allow,8,0:06,,108
Exterior Surfaces,Roofing,Fascia-Flashing-Soffits,Logistical,Fixed,10000.0,Allow,1,Allow,8,0:06,,108
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Logistical,Fixed,2500.0,Each,23,Each,20,0:06,,71
Fences-Walls-Gates,Concrete,Concrete Brick Grouted Wall,Logistical,Fixed,2500.0,Allow,1,Allow,3,0:06,,101
Fences-Walls-Gates,Concrete,Pool Area Wall Repair,Logistical,Fixed,2500.0,Allow,1,Allow,5,0:06,,132
Landscape,Fire Safety,"Landscaping, Wildfire Defensible Space",Logistical,Fixed,10000.0,Allow,1,Allow,1,0:06,,Board Plan
Landscape,Concrete,Landscape Border Blocks,Logistical,Fixed,1000.0,Allow,1,Allow,3,0:06,,115
Landscape,Fire Safety,Tree Removal-Major Trimming,Logistical,One Time,7000.0,Allow,1,Allow,1,0:06,,151
Landscape,Fire Safety,Tree Removal-Major Trimming,Logistical,Fixed,8000.0,Allow,1,Allow,1,0:06,,151
Landscape,Renovation,Landscape Replenishment,Logistical,Fixed,2500.0,Allow,1,Allow,3,0:06,,116
Painting,Exterior,Painting Building 1,Logistical,Fixed,4.0,$/SF,11539,SF,10,0:06,,124
Painting,Exterior,Painting Buildingg 2,Logistical,Fixed,4.0,$/SF,11539,SF,10,0:06,,124
Painting,Exterior,Painting Building 3,Logistical,Fixed,4.0,$/SF,11213,SF,10,0:06,,124
Painting,Exterior,Painting Building 9,Logistical,Fixed,4.0,$/SF,7886,SF,10,0:06,,124
Painting,Exterior,Painting Building 11,Logistical,Fixed,4.0,$/SF,7886,SF,10,0:06,,124
Painting,Exterior,Painting Buidling 14,Logistical,Fixed,4.0,$/SF,4580,SF,10,0:06,,124
Painting,Parking,Parking Striping-Curb Painting,Logistical,Fixed,5000.0,Allow,1,Allow,3,0:06,,125
Plumbing,Inspection,Water Valve and Line Annual Inspection,Logistical,One Time,1756.0,Allow,1,Allow,1,0:06,,Board Plan
Plumbing,Sanitation,"Sewer Inspection, Semi-annual Inspection",Logistical,One Time,4097.0,Allow,1,Allow,2,0:06,,Board Plan
Plumbing,Sanitation,Sewer Lateral Lines-Cleanouts,Logistical,Fixed,5000.0,Allow,1,Allow,2,0:06,,146
Roofing,Inspection,Roof Inspection and Repair,Logistical,One Time,15000,Allow,1,Allow,5,0:06,,Board Plan
Signage,Numbers,Building Signs/Numbers,Logistical,Fixed,2000.0,Allow,1,Allow,5,0:06,,65
Structural,Renovation,Trash Enclosures,Logistical,Fixed,7500.0,Allow,1,Allow,5,0:06,,150
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,1:06,,64
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Logistical,Fixed,2500.0,Each,23,Each,20,1:06,,71
Painting,Exterior,Painting Building 4,Logistical,Fixed,4.0,$/SF,15029,SF,10,1:06,,124
Painting,Exterior,Painting Building 6,Logistical,Fixed,4.0,$/SF,11948,SF,10,1:06,,124
Painting,Exterior,Painting Building 7,Logistical,Fixed,4.0,$/SF,11948,SF,10,1:06,,124
Balconies-Decks-Stairways,Railings,Walkway Railing,Logistical,Fixed,3000.0,Allow,1,Allow,8,2:06,,154
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,2:06,,64
Balconies-Decks-Stairways,Structural,Metal Stairway Flashing/Stringers,Logistical,Fixed,15000.0,Allow,1,Allow,7,2:06,,121
Balconies-Decks-Stairways,Structural,Wood Balcony Walls,Logistical,Fixed,25000.0,Allow,1,Allow,5,2:06,,156
Equipment,Pool,Pool Cover,Logistical,Fixed,4.0,$/SF,720,SF,12,2:06,,136
Equipment,Pool,Pool Heater Raypak,Logistical,Fixed,3000.0,Each,1,Each,15,2:06,,138
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,7500,SF,30,2:06,,157
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Logistical,Fixed,2500.0,Each,23,Each,20,2:06,,71
Fences-Walls-Gates,Concrete,Stacked Concrete Block Wall,Logistical,Fixed,1500.0,Allow,1,Allow,5,2:06,,147
Painting,Exterior,Painting Building 8,Logistical,Fixed,4.0,$/SF,14409,SF,10,2:06,,124
